title,video_url,views,video_age
SOLVED: Yanny or Laurel,https://youtube.com//watch?v=DZAiRufPx9A,1.7M views,2 years ago
Anything for a Klondike,https://youtube.com//watch?v=3rApMBPh15M,985K views,2 years ago
Can you Shrek it? (YIAY #414),https://youtube.com//watch?v=ksjWPxFPsos,4.5M views,2 years ago
What's the worst thing you've ever done? (YIAY #413),https://youtube.com//watch?v=0qCive6isMk,2.5M views,2 years ago
Be a Klondike.,https://youtube.com//watch?v=ayXHGQtX-so,911K views,2 years ago
INFINITY WAR in 4 words (YIAY #412),https://youtube.com//watch?v=hSUSQ2jPFJE,2.4M views,2 years ago
Our Wedding but also Infinity War (JackAsk #85),https://youtube.com//watch?v=KP9uOgYGSIc,1.9M views,2 years ago
How do I stop these tears (YIAY #411),https://youtube.com//watch?v=pXpfGJpmhNI,1.5M views,2 years ago
Our Honeymoon. (YIAY #410),https://youtube.com//watch?v=bvh_H0LsXpk,2.2M views,2 years ago
Please don't photoshop our wedding photo. (YIAY #409),https://youtube.com//watch?v=cRTwgPj0qx4,4.8M views,2 years ago
"Who would win: Superman, Batman, Wonder Woman? (YIAY #408)",https://youtube.com//watch?v=SnGl9niGBrU,1M views,2 years ago
Please hide my forehead. (YIAY #407),https://youtube.com//watch?v=tBcP4Mko90M,2.4M views,2 years ago
Underdog Stories (YIAY #406),https://youtube.com//watch?v=gNvNMWiMxUE,2.4M views,2 years ago
If you could chat with anyone... (YIAY #405),https://youtube.com//watch?v=kCFO2Z_12Rc,1.5M views,2 years ago
FIX YOUR NAMES (YIAY #404),https://youtube.com//watch?v=WUnSkFQojxY,3.9M views,2 years ago
Unboxing and wearing the fursuit,https://youtube.com//watch?v=FkiQ67FtycI,1.8M views,2 years ago
"The exact moment I hit 4,000,000 subscribers",https://youtube.com//watch?v=gNXoxfeyzmI,1.5M views,2 years ago
WE BAMBOOZLED 'EM (YIAY #403),https://youtube.com//watch?v=_fNTtUOQ-MU,2.5M views,2 years ago
"My 1,000th Video (Face Reveal)",https://youtube.com//watch?v=3i37RZ51Cuc,1.4M views,2 years ago
ME YOU YOU ME,https://youtube.com//watch?v=hA8lElh7LFg,2.3M views,2 years ago
Twitch in 4 words (YIAY #402),https://youtube.com//watch?v=wHVAt-kfbyU,1.5M views,2 years ago
"""Alexa, what's the worst Shrek movie?"" (YIAY #401)",https://youtube.com//watch?v=9dd7NIstifs,4.9M views,2 years ago
FAKE FACTS 3 (YIAY #400),https://youtube.com//watch?v=I1CuQTEJijM,4.7M views,2 years ago
The Infinity War trailer but I just name characters as they appear,https://youtube.com//watch?v=zWrMvW7S3tg,1.9M views,2 years ago
I regret the proposal. (JackAsk #84),https://youtube.com//watch?v=m0dtKB9Iq04,1.6M views,2 years ago
Why Shrek 3 is the worst Shrek (and should be removed from Shrek canon),https://youtube.com//watch?v=HATBD0QFor0,2.5M views,2 years ago
I surprised my girlfriend with constructive criticism,https://youtube.com//watch?v=by99tmM6gCw,1.1M views,2 years ago
The Best Channel on YouTube. (JackAsk #83),https://youtube.com//watch?v=I-ReWBV0JUc,1.4M views,2 years ago
Our Wedding Vows. (YIAY #399),https://youtube.com//watch?v=-cEUeIYgxo8,2.4M views,2 years ago
*cough*,https://youtube.com//watch?v=H0g4JxKp4fc,9.4M views,2 years ago
BETTER OLYMPICS (YIAY #398),https://youtube.com//watch?v=mYUiFnVrBxY,1.4M views,2 years ago
Very Cool House Tour (WARNING: cool),https://youtube.com//watch?v=_0E49O10HSg,1.9M views,2 years ago
FINNA WOKE. (YIAY #397),https://youtube.com//watch?v=yfYvPstCSmg,2M views,2 years ago
Our Last Unmarried Video (JackAsk #82),https://youtube.com//watch?v=j4SG4LqwaMk,3.2M views,2 years ago
Valentine's Day Cards! (YIAY #396),https://youtube.com//watch?v=mJ0Nz7MUSrk,1.9M views,2 years ago
We Need to Talk about These TubeNews... (The Jack DeFilms Show),https://youtube.com//watch?v=OGrmeFdfyQc,2.8M views,2 years ago
YIAYKUS. (YIAY #395),https://youtube.com//watch?v=coL1z6LsVJ8,2.6M views,2 years ago
Star Wars Episode 9 Title Leak! (YIAY #394),https://youtube.com//watch?v=_xoEbHLknqA,1.3M views,2 years ago
"If I win YouTuber of the Year, I will do this... (YIAY #393)",https://youtube.com//watch?v=QMQx2Du8-mw,2.4M views,2 years ago
BTS: Boys That Suckle (YIAY #392),https://youtube.com//watch?v=Brh3GyAIiQg,1.9M views,2 years ago
"I'm super sorry, Pewdiepie fans. (YOUR GRAMMAR SUCKS #115)",https://youtube.com//watch?v=lXOf_eILyjg,5.1M views,2 years ago
Do you microcheat? (YIAY #391),https://youtube.com//watch?v=lnzTQ13ha0s,2.5M views,2 years ago
