Title,Year,Duration,Rating,Total Voted,Year Released,Language,Budget,Gross,Color,Top Actors,Genre
Winnie the Pooh: Blood and Honey,2023,1h 24m,2.9,27K,"March 17, 2023",['English'],"$100,000","$1,750,639",['Color'],"Nikolai Leon, Maria Taylor, Natasha Rose Mills, Amber Doig-Thorne, Danielle Ronald",Horror
Miller's Girl,2024,1h 33m,5.2,6.9K,"January 26, 2024",['English'],"$1,264,279",,['Color'],"Martin Freeman, Jenna Ortega, Bashir Salahuddin, Gideon Adlon, Dagmara Dominczyk","Comedy, Drama"
Land of Bad,2024,1h 53m,6.5,12K,"February 16, 2024",['English'],"$4,609,811","$1,840,510",['Color'],"Liam Hemsworth, Russell Crowe, Luke Hemsworth, Ricky Whittle, Milo Ventimiglia","Action, Thriller"
Mission: Impossible - Dead Reckoning Part One,2023,2h 43m,7.7,241K,"July 12, 2023","['Russian', 'Italian', 'French', 'English']","$291,000,000","$172,135,383",['Color'],"Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg, Rebecca Ferguson","Action, Adventure, Thriller"
Blade Runner 2049,2017,2h 44m,8.0,658K,"October 5, 2017","['Japanese', 'Russian', 'English', 'Spanish']","$150,000,000","$92,071,675",['Color'],"Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista, Robin Wright","Action, Drama, Mystery"
Deadpool & Wolverine,2024,,,,"July 26, 2024",['English'],,,['Color'],"Josh Brolin, Ryan Reynolds, Morena Baccarin, Jennifer Garner, Hugh Jackman","Action, Comedy, Sci-Fi"
The Ministry of Ungentlemanly Warfare,2024,2h,,,"April 19, 2024",['English'],,,['Color'],"Henry Cavill, Alan Ritchson, Alex Pettyfer, Eiza González, Babs Olusanmokun","Drama, War"
The Last Repair Shop,2023,,7.4,2.4K,"November 8, 2023",['English'],,,['Color'],"Dana Atkinson, Duane Michaels, Paty Moreno, Steve Bagmanyan, Ken Burget","Documentary, Short, Music"
Priscilla,2023,1h 53m,6.6,31K,"December 15, 2023",['English'],"$20,960,939","$132,139",['Color'],"Cailee Spaeny, Jacob Elordi, Ari Cohen, Dagmara Dominczyk, Tim Post","Biography, Drama, Music"
May December,2023,1h 57m,6.9,49K,"December 1, 2023",['English'],"$20,000,000","$4,232,370",['Color'],"Natalie Portman, Chris Tenzis, Charles Melton, Julianne Moore, Andrea Frankle","Comedy, Drama"
The Batman,2022,2h 56m,7.8,779K,"March 4, 2022","['Spanish', 'Italian', 'English']","$185,000,000","$369,345,583",['Color'],"Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell, Paul Dano","Action, Crime, Drama"
